WD21CD,WD22CD,distance
E05000270,E05013589,0.001320340865079966
E05000271,E05013590,0.00039999999999906777
E05000272,E05013592,0.000866833317310568
E05000273,E05013593,0.0036188395930196082
E05000274,E05013594,0.005221743004017248
E05000275,E05013595,1.4142135625972663e-05
E05000276,E05013596,0.0043493907619335725
E05000277,E05013597,0.0020282997806033206
E05000278,E05013598,0.005101313556330329
E05000279,E05013600,0.0008183520025016189
E05000280,E05013601,0.0075729122535495045
E05000281,E05013602,0.002303605869070479
E05000282,E05013603,3.999999999999837e-05
E05000283,E05013604,0.004432538775916054
E05000284,E05013605,0.004911720676097101
E05000285,E05013542,0.00553572036865999
E05000286,E05013560,0.01199042951691065
E05000287,E05013545,0.000410121933090439
E05000288,E05013546,0.004375042856933117
E05000289,E05013547,0.0033739739180970126
E05000290,E05013548,0.000410121933090439
E05000291,E05013549,0.0007902531240047335
E05000292,E05013550,0.005291445927154454
E05000293,E05013550,0.00779800615542349
E05000294,E05013551,0.004856439024635144
E05000295,E05013552,0.002958141308323673
E05000296,E05013553,0.0062885610436755005
E05000297,E05013555,0.0028276668827846934
E05000298,E05013556,0.004055132550238409
E05000299,E05013544,0.001815736765061798
E05000300,E05013557,0.006842112246956848
E05000301,E05013558,0.0020619408332931514
E05000302,E05013559,0.0023645718428507148
E05000303,E05013560,0.01079245106544829
E05000304,E05013561,0.0007566372975205506
E05000305,E05013563,0.004229278898346791
E05000306,E05013980,0.002718223868629634
E05000307,E05013968,0.006022837869310676
E05000308,E05013969,0.003710587015559486
E05000309,E05013970,0.005080642577468791
E05000310,E05013971,0.003932444023758739
E05000311,E05013972,0.0026377232606923204
E05000312,E05013973,0.002553160590327475
E05000313,E05013974,0.00037515863311074477
E05000314,E05013975,0.0038308192335317773
E05000315,E05013976,1.0049875624279374e-05
E05000316,E05013978,0.0013865601321294077
E05000317,E05013977,0.003314607819938432
E05000318,E05013979,0.010768966013502895
E05000319,E05013981,0.0048730089267314146
E05000320,E05013982,0.0007168884153018387
E05000321,E05013967,0.0003747212297167291
E05000322,E05013985,0.003810869192191699
E05000323,E05013986,0.0
E05000324,E05013564,0.0024977589955788877
E05000325,E05013569,0.004917275668495932
E05000326,E05013566,0.006868573359876108
E05000327,E05013567,0.010580170130957823
E05000328,E05013565,0.0007964923100666406
E05000329,E05013567,0.011568132952207459
E05000330,E05013568,0.014341147094982732
E05000331,E05013570,5.000000000143778e-05
E05000332,E05013571,0.0011539497389411537
E05000333,E05013573,0.005205112871012254
E05000334,E05013578,0.002136632865051444
E05000335,E05013574,0.0
E05000336,E05013575,0.0026617663308396836
E05000337,E05013576,0.003680489097932481
E05000338,E05013579,0.0009208691546579818
E05000339,E05013582,0.0063020155506030425
E05000340,E05013572,0.00629221741518619
E05000341,E05013580,0.0183191266167371
E05000342,E05013581,2.0000000000020002e-05
E05000343,E05013577,0.009260653324682639
E05000344,E05013583,0.003292977376174733
E05000345,E05013584,0.008483218728761599
E05000346,E05013606,0.006934298810981289
E05000347,E05013607,0.003015725451694719
E05000348,E05013610,0.0037275863504397035
E05000349,E05013611,0.004761858880730306
E05000350,E05013612,7.071067811480024e-05
E05000351,E05013613,0.00043104524124652934
E05000352,E05013614,1.999999999996449e-05
